t_date,code,p_open,p_high,p_low,p_close,volume,fi_st,fi_netbs,it_netbs,sq_netbs,pbr,per,dividend_yield,pred,pred_up,pred_down
2017/3/17,2891,19,19.1,18.9,19.1,66193,7949993,21513,-132,474,1.19,10.21,8.43,º¦,1,0
2017/3/20,2891,19.15,19.25,18.95,19.05,46845,7949295,-738,-16,-1204,1.19,10.19,8.45,¶^,0,1
2017/3/21,2891,19.05,19.05,18.9,19.05,47119,7955536,6241,11,-464,1.19,10.19,8.45,¥­,0,0
2017/3/22,2891,18.9,18.9,18.75,18.9,46398,7953606,-2430,0,-628,1.18,10.11,8.52,¶^,0,1
2017/3/23,2891,18.9,19,18.85,19,28240,7968630,15025,0,-709,1.19,10.16,8.47,º¦,1,0
2017/3/24,2891,19,19.05,18.9,19,35966,7980886,12238,6,-938,1.19,10.16,8.47,¥­,0,0
2017/3/27,2891,18.9,18.95,18.75,18.85,40563,7986007,5091,312,-82,1.18,10.08,8.54,¶^,0,1
2017/3/28,2891,18.9,18.9,18.65,18.65,49946,7990256,4248,60,650,1.16,9.97,8.63,¶^,0,1
2017/3/29,2891,18.8,18.8,18.7,18.75,38751,7993732,3476,247,1063,1.17,10.03,8.59,º¦,1,0
2017/3/30,2891,18.8,18.85,18.7,18.75,35098,7992627,-1104,436,-510,1.29,13.11,8.59,¥­,0,0
2017/3/31,2891,18.9,18.95,18.75,18.75,39067,8005175,12548,391,-533,1.29,13.11,8.59,¥­,0,0
2017/4/5,2891,18.8,18.85,18.65,18.85,53214,8003921,-1152,0,-58,1.3,13.18,8.54,º¦,1,0
2017/4/6,2891,18.8,18.8,18.65,18.75,33104,7990674,-10947,974,-806,1.29,13.11,8.59,¶^,0,1
2017/4/7,2891,18.75,18.75,18.6,18.6,35824,7981088,-9586,-349,89,1.28,13.01,8.66,¶^,0,1
2017/4/10,2891,18.6,18.65,18.55,18.6,25697,7971162,-9926,9,264,1.28,13.01,8.66,¥­,0,0
2017/4/11,2891,18.6,18.75,18.6,18.65,27868,7969427,-1735,0,69,1.29,13.04,8.63,º¦,1,0
2017/4/12,2891,18.65,18.7,18.6,18.7,23678,7968426,-1002,-108,-434,1.29,13.08,8.61,º¦,1,0
2017/4/13,2891,18.7,18.75,18.65,18.7,22773,7964714,-3713,83,110,1.29,13.08,8.61,¥­,0,0
2017/4/14,2891,18.65,18.65,18.4,18.45,36831,7958825,-5889,257,-478,1.27,12.9,8.73,¶^,0,1
2017/4/17,2891,18.45,18.55,18.4,18.45,18510,7955542,-2783,450,-18,1.27,12.9,8.73,¥­,0,0
