t_date,p_close,code,volume,fi_st,fi_netbs,it_netbs,sq_netbs,pbr,per,dividend_yield,pred_days
2014/10/21,18.6,2884,5017,3983498,604,14,-182,1.19,12.57,6.24,B
2014/10/22,18.65,2884,7505,3986879,3156,0,-76,1.19,12.6,6.22,B
2014/10/23,18.6,2884,3059,3987032,153,22,6,1.19,12.57,6.24,B
2014/10/24,18.5,2884,5056,3987634,263,0,-285,1.18,12.5,6.27,A
2014/10/27,18.5,2884,5606,3988630,1434,-2,-520,1.18,12.5,6.27,A
2014/10/28,18.9,2884,12379,3994652,6441,0,258,1.21,12.77,6.14,B
2014/10/29,19.15,2884,9364,4000123,5382,845,347,1.23,12.94,6.06,B
2014/10/30,19.1,2884,6844,4002501,2386,308,474,1.22,12.91,6.07,B
2014/10/31,19.25,2884,6872,4006535,4167,-7,-107,1.23,13.01,6.03,B
2014/11/3,19.35,2884,7018,4008228,1709,-5,-161,1.24,13.07,5.99,C
2014/11/4,19.25,2884,6270,4010484,2185,0,6,1.23,13.01,6.03,C
2014/11/5,19.35,2884,6088,4014625,4150,0,57,1.24,13.07,5.99,C
2014/11/6,19.3,2884,5604,4017500,2877,0,-37,1.24,13.04,6.01,C
2014/11/7,19.4,2884,8913,4023613,6079,-30,17,1.24,13.11,5.98,C
2014/11/10,19.5,2884,8782,4029391,5723,0,230,1.25,13.18,5.95,C
2014/11/11,19.6,2884,6826,4031226,1935,49,58,1.25,13.24,5.92,C
2014/11/12,19.35,2884,5665,4032646,1474,24,-5,1.24,13.07,5.99,D
2014/11/13,19.4,2884,3762,4034610,1884,0,-114,1.24,13.11,5.98,D
2014/11/14,19.5,2884,8346,4036126,1490,0,6,1.32,13.18,5.95,D
2014/11/17,19.4,2884,6852,4038411,2293,-58,24,1.31,13.38,5.98,D
2014/11/18,19.35,2884,8063,4041219,2808,0,141,1.31,13.34,5.99,D
2014/11/19,19.55,2884,10507,4047745,3314,0,24,1.32,13.48,5.93,E
2014/11/20,19.5,2884,6060,4049090,1303,85,629,1.32,13.45,5.95,D
2014/11/21,19.55,2884,6641,4052615,2928,16,86,1.32,13.48,5.93,D
2014/11/24,19.7,2884,6121,4057659,3483,0,107,1.33,13.59,5.89,C
2014/11/25,19.55,2884,10469,4059263,2236,49,-120,1.32,13.48,5.93,C
2014/11/26,19.7,2884,4728,4061030,1748,-2,25,1.33,13.59,5.89,C
2014/11/27,19.6,2884,9383,4064677,3519,-4,-125,1.33,13.52,5.92,C
2014/11/28,19.6,2884,7339,4065298,692,0,-24,1.33,13.52,5.92,C
2014/12/1,19.4,2884,13372,4064531,-767,0,-433,1.31,13.38,5.98,C
2014/12/2,19.2,2884,10169,4062049,-546,0,-265,1.3,13.24,6.04,B
2014/12/3,19.4,2884,8973,4061303,-851,-11,-135,1.31,13.38,5.98,C
2014/12/4,19.35,2884,9155,4059675,-1604,0,30,1.31,13.34,5.99,B
2014/12/5,19.5,2884,2625,4060604,1128,-21,-13,1.32,13.45,5.95,C
2014/12/8,19.5,2884,3838,4061865,1291,-6,-113,1.32,13.45,5.95,D
2014/12/9,19.45,2884,4476,4062478,613,0,-229,1.32,13.41,5.96,D
2014/12/10,19.05,2884,9776,4058914,-3603,-17,-106,1.29,13.14,6.09,B
2014/12/11,19,2884,4181,4058968,-501,3,-22,1.29,13.1,6.11,B
2014/12/12,19,2884,7157,4058404,-567,0,5,1.29,13.1,6.11,B
2014/12/15,18.85,2884,6306,4056190,-2228,0,-26,1.28,13,6.15,B
2014/12/16,18.9,2884,7055,4055378,-812,-28,302,1.28,13.03,6.14,B
2014/12/17,18.7,2884,13316,4053472,-1806,0,200,1.27,12.9,6.2,B
2014/12/18,18.8,2884,10242,4051456,-1768,0,-253,1.27,12.97,6.17,C
2014/12/19,19.15,2884,8458,4051135,-320,169,197,1.3,13.21,6.06,D
2014/12/22,19.55,2884,10898,4055399,4674,-696,11,1.32,13.48,5.93,D
2014/12/23,19.5,2884,11268,4054384,-1127,-504,-72,1.32,13.45,5.95,D
2014/12/24,19.6,2884,5354,4056648,2780,0,11,1.33,13.52,5.92,D
2014/12/25,19.6,2884,2086,4057597,1057,-194,21,1.33,13.52,5.92,D
2014/12/26,19.6,2884,2978,4059305,1696,-500,55,1.33,13.52,5.92,D
2014/12/27,19.55,2884,1584,4059687,0,-700,183,1.32,13.48,5.93,D
2014/12/29,19.55,2884,8428,4062412,2743,-12,65,1.32,13.48,5.93,D
2014/12/30,19.55,2884,5625,4062617,271,-5,-25,1.32,13.48,5.93,D
2014/12/31,19.65,2884,5989,4063935,1570,-1,-4,1.33,13.55,5.9,D
2015/1/5,19.35,2884,5030,4062243,-1692,0,-153,1.31,13.34,5.99,C
2015/1/6,18.9,2884,15073,4060375,-1867,-70,-91,1.28,13.03,6.14,B
2015/1/7,18.9,2884,5711,4058273,-2102,34,-50,1.28,13.03,6.14,B
2015/1/8,19.3,2884,7790,4061213,2941,0,-83,1.31,13.31,6.01,B
2015/1/9,19.4,2884,4201,4062693,1480,0,140,1.31,13.38,5.98,C
2015/1/12,19.3,2884,2611,4063205,503,0,0,1.31,13.31,6.01,C
2015/1/13,19.5,2884,5616,4065596,2158,0,130,1.32,13.45,5.95,C
2015/1/14,19.45,2884,8603,4068185,2322,-6,-192,1.32,13.41,5.96,C
2015/1/15,19.2,2884,8392,4067249,-935,0,-10,1.3,13.24,6.04,B
2015/1/16,18.95,2884,12351,4058323,-8927,-50,-216,1.28,13.07,6.12,B
2015/1/19,18.95,2884,8125,4053941,-4382,-1,-10,1.28,13.07,6.12,B
2015/1/20,18.85,2884,9978,4050849,-3757,-651,200,1.28,13,6.15,B
2015/1/21,19.05,2884,7647,4051230,-86,0,-178,1.29,13.14,6.09,B
2015/1/22,19.05,2884,11126,4048457,-3272,0,266,1.29,13.14,6.09,B
2015/1/23,19.05,2884,9356,4047649,-1139,-8,201,1.29,13.14,6.09,B
2015/1/26,19,2884,11205,4045079,-2901,0,-48,1.29,13.1,6.11,B
2015/1/27,19.2,2884,8445,4046352,2600,-500,28,1.3,13.24,6.04,C
2015/1/28,19.25,2884,6335,4048993,2641,0,44,1.3,13.28,6.03,C
2015/1/29,19.2,2884,9399,4048339,-568,0,51,1.3,13.24,6.04,C
2015/1/30,19.4,2884,11734,4054353,5941,-24,-111,1.31,13.38,5.98,D
2015/2/2,19.45,2884,6806,4055831,887,0,338,1.32,13.41,5.96,D
2015/2/3,19.55,2884,7239,4060096,4339,0,-84,1.32,13.48,5.93,D
2015/2/4,19.65,2884,15290,4066090,5646,0,96,1.33,13.55,5.9,D
2015/2/5,19.6,2884,3265,4066511,384,0,53,1.33,13.52,5.92,D
2015/2/6,19.45,2884,6865,4065830,-700,0,15,1.32,13.41,5.96,D
2015/2/9,19.35,2884,4255,4066437,607,-77,6,1.31,13.34,5.99,D
2015/2/10,19.6,2884,6736,4070546,4109,0,-174,1.33,13.52,5.92,D
2015/2/11,19.6,2884,5686,4072795,2798,0,-24,1.33,13.52,5.92,D
2015/2/12,19.6,2884,4747,4074287,1493,-6,-66,1.33,13.52,5.92,D
2015/2/13,19.65,2884,12718,4081422,7192,-304,-1361,1.33,13.55,5.9,D
2015/2/24,19.75,2884,12772,4084121,2700,0,383,1.34,13.62,5.87,D
2015/2/25,19.75,2884,10549,4090133,5487,862,-110,1.34,13.62,5.87,D
2015/2/26,19.6,2884,11942,4094799,4666,-30,63,1.33,13.52,5.92,D
2015/3/2,19.4,2884,11668,4095799,990,0,58,1.31,13.38,5.98,D
2015/3/3,19.4,2884,14551,4088647,-7153,-2,516,1.31,13.38,5.98,D
2015/3/4,19.65,2884,10601,4091493,2790,-66,-54,1.33,13.55,5.9,D
2015/3/5,19.3,2884,9074,4086537,-4956,-4,-210,1.31,13.31,6.01,C
2015/3/6,19.35,2884,8674,4085391,-1593,0,97,1.31,13.34,5.99,C
2015/3/9,19.2,2884,11799,4076065,-9271,-5,-82,1.3,13.24,6.04,C
2015/3/10,19.15,2884,16131,4068505,-9215,0,-7,1.3,13.21,6.06,B
2015/3/11,19,2884,12901,4061501,-7043,0,-376,1.29,13.1,6.11,B
2015/3/12,19.35,2884,14604,4061630,83,54,-64,1.31,13.34,5.99,C
2015/3/13,19.35,2884,13439,4068039,4868,0,14,1.31,13.34,5.99,C
2015/3/16,19.35,2884,22708,4077774,7118,-919,659,1.31,13.34,5.99,D
2015/3/17,19.15,2884,39416,4056215,-22151,194,-15,1.3,13.21,6.06,C
2015/3/18,19.1,2884,20404,4052805,-7023,0,-46,1.29,13.17,6.07,C
2015/3/19,19.2,2884,17762,4053258,-391,-3,-57,1.3,13.24,6.04,C
2015/3/20,19.25,2884,21487,4056979,2436,-52,-79,1.3,13.28,6.03,C
2015/3/23,19.25,2884,30141,4049808,-5018,50,-31,1.3,13.28,6.03,C
2015/3/24,19.2,2884,22647,4043207,-6601,-5,6,1.3,13.24,7.03,B
2015/3/25,19.15,2884,21106,4033273,-5850,-2,41,1.3,13.21,7.05,A
2015/3/26,19.1,2884,14241,4022849,-7133,0,-39,1.26,13.17,7.07,A
2015/3/27,19,2884,20604,4016858,-5732,-62,-384,1.25,12.75,7.11,A
2015/3/30,19.05,2884,15538,4017222,365,0,60,1.26,12.79,7.09,A
2015/3/31,19.15,2884,23792,4015320,-1951,0,-115,1.26,12.85,7.05,A
2015/4/1,19.2,2884,13661,4019578,4259,0,-16,1.27,12.89,7.03,A
2015/4/2,19.2,2884,6371,4020609,1079,0,0,1.27,12.89,7.03,A
2015/4/7,19.4,2884,13687,4025665,5539,0,269,1.28,13.02,6.96,A
2015/4/8,19.3,2884,8120,4024605,-1060,0,-51,1.27,12.95,6.99,A
2015/4/9,19.45,2884,12066,4028538,3933,0,-288,1.28,13.05,6.94,A
2015/4/10,19.2,2884,17022,4021881,-6658,0,68,1.27,12.89,7.03,A
2015/4/13,19.25,2884,13239,4014356,-7340,0,-28,1.27,12.92,7.01,A
2015/4/14,19.25,2884,13038,4008439,-5918,-7,-241,1.27,12.92,7.01,A
2015/4/15,19.1,2884,21744,3996667,-11772,4,131,1.26,12.82,7.07,A
2015/4/16,19.25,2884,29833,3986082,-10585,-130,-125,1.27,12.92,7.01,B
2015/4/17,19.2,2884,10567,3989335,3243,0,-115,1.27,12.89,7.03,B
2015/4/20,19.3,2884,11375,3990037,701,4,68,1.27,12.95,6.99,A
2015/4/21,19.25,2884,7405,3987796,-2241,-143,-123,1.27,12.92,7.01,A
2015/4/22,19.4,2884,9670,3990201,2404,-61,45,1.28,13.02,6.96,B
2015/4/23,19.7,2884,51152,4000020,9820,0,5397,1.3,13.22,6.85,B
2015/4/24,20.6,2884,87958,4051621,51931,-4,-132,1.36,13.83,6.55,D
2015/4/27,21.7,2884,77830,4089975,38354,0,4969,1.43,14.56,6.22,E
2015/4/28,21.85,2884,47703,4110028,19617,1500,-1807,1.44,14.66,6.18,D
2015/4/29,21.45,2884,31512,4121365,11337,-12,-581,1.42,14.4,6.29,D
2015/4/30,21,2884,44466,4134747,13356,398,415,1.39,14.09,6.43,C
2015/5/4,21.2,2884,28060,4139813,5066,-287,740,1.4,14.23,6.37,D
